Date,Open,High,Low,Close,Volume
2016-01-04,188.1,188.62,186.33,188.61,236029062
2016-01-05,188.99,189.44,187.7,188.95,117670536
2016-01-06,186.09,187.71,185.41,186.55,161627792
2016-01-07,183.26,185.25,181.64,182.06,226583026
2016-01-08,183.13,183.77,179.75,180.08,223341349
2016-01-11,181.09,181.47,178.1,180.25,200305741
2016-01-12,181.87,182.55,179.35,181.71,182367439
2016-01-13,182.46,182.83,176.74,177.17,235159962
2016-01-14,177.86,181.32,176.08,180.05,255428975
2016-01-15,175.24,177.1,174.07,176.16,345302399
2016-01-19,178.23,178.36,174.69,176.43,208088637
2016-01-20,173.62,175.92,169.84,174.18,304211109
2016-01-21,174.7,177.21,173.24,175.16,207887343
2016-01-22,178.07,178.98,177.22,178.75,179178082
2016-01-25,178.2,178.4,175.86,176.06,138011972
2016-01-26,176.78,178.76,176.41,178.45,149197393
2016-01-27,177.89,179.73,175.53,176.5,197173069
2016-01-28,178.23,178.45,175.62,177.45,152772878
2016-01-29,178.28,181.93,178.16,181.77,224128485
2016-02-01,180.65,182.58,180.0,181.7,144708880
2016-02-02,180.12,180.12,177.85,178.41,194287948
2016-02-03,179.59,179.95,175.56,179.49,218182056
2016-02-04,178.93,180.85,178.23,179.77,148473614
2016-02-05,179.21,179.84,175.66,176.36,192516761
2016-02-08,174.29,174.63,171.53,174.01,203696135
2016-02-09,172.04,175.41,171.89,174.0,195558375
2016-02-10,174.89,176.69,173.7,173.85,157251427
2016-02-11,171.09,172.73,169.9,171.57,232916720
2016-02-12,173.55,175.12,172.59,175.1,135941531
2016-02-16,177.11,178.1,176.05,178.07,127704967
2016-02-17,179.37,181.38,179.23,180.96,144231909
2016-02-18,181.28,181.33,179.89,180.23,108851465
2016-02-19,179.38,180.32,178.68,180.15,122240484
2016-02-22,181.92,182.92,181.84,182.75,110029404
2016-02-23,182.01,182.33,180.32,180.45,118584634
2016-02-24,178.85,181.58,177.64,181.28,160472739
2016-02-25,181.78,183.47,180.93,183.46,117478807
2016-02-26,184.44,184.55,182.87,183.04,137883246
2016-02-29,183.06,184.12,181.39,181.61,133566256
2016-03-01,182.97,185.94,182.47,185.94,150711508
2016-03-02,185.53,186.79,185.07,186.73,108857889
2016-03-03,186.52,187.46,185.87,187.44,101231478
2016-03-04,187.67,188.94,186.76,188.04,137471353
2016-03-07,187.03,188.66,186.95,188.2,106398967
2016-03-08,187.02,187.58,185.97,186.15,131816620
2016-03-09,187.05,187.46,186.18,187.07,100742675
2016-03-10,187.62,188.66,185.19,187.23,167156912
2016-03-11,188.85,190.29,187.2,190.24,146958931
2016-03-14,189.66,190.5,189.33,189.99,78368833
2016-03-15,188.95,190.02,188.64,189.67,99218657
2016-03-16,189.18,191.25,189.14,190.8,137693178
2016-03-17,190.7,192.56,190.25,191.99,142973862
2016-03-18,192.55,193.14,192.21,192.75,146587571
2016-03-21,192.45,193.3,192.21,193.03,77203952
2016-03-22,192.17,193.57,191.98,192.92,103139913
2016-03-23,192.49,192.7,191.45,191.65,85861777
2016-03-24,190.5,191.6,190.26,191.56,89333606
2016-03-28,192.02,192.25,191.19,191.68,65466591
2016-03-29,191.24,193.59,190.9,193.46,98140194
2016-03-30,194.55,195.11,193.9,194.29,90858317
2016-03-31,194.18,194.65,193.65,193.83,99856041
2016-04-01,192.72,195.37,192.36,195.16,120110273
2016-04-04,195.07,195.3,194.17,194.51,66438867
2016-04-05,193.03,194.53,192.28,192.57,104627565
2016-04-06,192.67,194.73,192.36,194.66,97189521
2016-04-07,193.48,193.87,191.53,192.33,119146639
2016-04-08,193.66,194.14,192.26,192.86,100671232
2016-04-11,193.59,194.33,192.3,192.4,87549446
2016-04-12,192.6,194.51,192.11,194.19,121853078
2016-04-13,195.23,196.24,195.08,196.15,101672582
2016-04-14,196.22,196.73,195.79,196.16,68970219
2016-04-15,196.16,196.25,195.62,195.95,80251891
2016-04-18,195.37,197.38,195.23,197.35,87177915
2016-04-19,197.81,198.23,197.06,197.96,92542924
2016-04-20,197.99,198.94,197.49,198.13,85923969
2016-04-21,198.15,198.28,196.78,197.1,90289988
2016-04-22,196.68,197.39,196.08,197.09,105201249
2016-04-25,196.4,196.79,195.75,196.74,69951633
2016-04-26,197.15,197.61,196.5,197.04,80055192
2016-04-27,196.61,197.88,196.2,197.45,81880039
2016-04-28,196.6,197.83,195.2,195.7,102604014
2016-04-29,194.96,195.36,193.38,194.58,150922114
2016-05-02,195.16,196.32,194.65,196.15,65735990
2016-05-03,194.76,195.04,193.6,194.42,112583908
2016-05-04,193.34,194.14,192.79,193.36,97571856
2016-05-05,193.87,194.25,192.83,193.33,71449953
2016-05-06,192.44,194.07,192.27,194.02,93358777
2016-05-09,193.88,194.64,193.68,194.17,77970194
2016-05-10,194.96,196.61,194.88,196.59,81908599
2016-05-11,196.08,196.67,194.74,194.74,86511759
2016-05-12,195.51,195.7,193.69,194.81,94725953
2016-05-13,194.47,195.1,192.75,193.12,102214193
2016-05-16,193.32,195.56,193.25,195.02,81874460
2016-05-17,194.7,195.04,192.61,193.21,121141669
2016-05-18,192.81,194.55,192.04,193.27,130631484
2016-05-19,192.44,192.9,191.26,192.58,122143222
2016-05-20,193.28,194.36,193.22,193.8,111224621
2016-05-23,193.82,194.13,193.34,193.54,62119254
2016-05-24,194.43,196.38,194.4,196.04,98818775
2016-05-25,196.8,197.84,196.75,197.38,83631970
2016-05-26,197.54,197.78,197.09,197.44,58444097
2016-05-27,197.62,198.28,197.57,198.24,66618657
2016-05-31,198.58,198.71,197.29,197.91,116261074
2016-06-01,197.23,198.5,197.01,198.3,73959979
2016-06-02,197.87,198.95,197.35,198.93,66692134
2016-06-03,198.28,198.71,196.98,198.31,107802341
2016-06-06,198.72,199.71,198.53,199.33,68598392
2016-06-07,199.49,200.25,199.47,199.63,64511690
2016-06-08,199.78,200.43,199.63,200.28,70046363
2016-06-09,199.48,200.15,199.18,200.01,78116986
2016-06-10,198.48,198.88,197.53,198.08,120077794
2016-06-13,197.46,198.39,196.49,196.59,124522556
2016-06-14,196.15,196.86,195.16,196.19,132347565
2016-06-15,196.67,197.46,195.74,195.93,115310651
2016-06-16,194.97,196.7,193.9,196.51,158200858
2016-06-17,196.39,196.42,195.06,195.79,123003181
2016-06-20,197.96,198.72,196.95,197.05,86034365
2016-06-21,197.48,198.04,196.98,197.61,76258920
2016-06-22,197.81,198.61,197.12,197.29,99802069
2016-06-23,198.92,199.9,198.38,199.85,105229717
2016-06-24,193.05,199.89,192.18,192.57,351346347
2016-06-27,191.13,191.14,188.32,189.24,261068070
2016-06-28,191.03,192.67,190.67,192.64,167664622
2016-06-29,194.18,196.16,194.08,195.92,144273163
2016-06-30,196.43,198.64,195.82,198.6,172392061
2016-07-01,198.47,199.55,198.4,198.95,111772687
2016-07-05,198.07,198.2,196.91,197.59,115454880
2016-07-06,197.03,198.91,196.28,198.77,101034155
2016-07-07,198.98,199.69,197.79,198.63,90093713
2016-07-08,200.08,201.86,199.82,201.62,141229806
2016-07-11,202.11,202.94,201.87,202.32,77457397
2016-07-12,203.38,204.1,203.11,203.77,106280157
2016-07-13,204.24,204.25,203.21,203.74,91963945
2016-07-14,205.15,205.41,204.46,204.88,95696089
2016-07-15,205.52,205.55,204.11,204.62,109712185
2016-07-18,204.73,205.34,204.47,205.16,61614976
2016-07-19,204.69,204.98,204.43,204.94,57246976
2016-07-20,205.49,206.07,204.99,205.79,61190727
2016-07-21,205.68,205.93,204.54,205.02,71325754
